"State","FIPS","Name","TotalVotes","Obama","Romney"
"GA",13229,"Pierce",6845,1124,5666
"GA",13227,"Pickens",12673,1975,10547
"GA",13225,"Peach",11499,6141,5280
"GA",13223,"Paulding",57254,15779,40771
"GA",13221,"Oglethorpe",6258,1913,4250
"GA",13219,"Oconee",16643,4140,12222
"GA",13217,"Newton",43216,21844,20979
"GA",13215,"Muscogee",70410,42458,27469
"GA",13213,"Murray",11209,2542,8439
"GA",13211,"Morgan",9016,2751,6178
"GA",13209,"Montgomery",3831,1135,2662
"GA",13207,"Monroe",12259,3779,8352
"GA",13205,"Mitchell",8273,4081,4153
"GA",13201,"Miller",2770,848,1904
"GA",13199,"Meriwether",9259,4328,4855
"GA",13197,"Marion",3167,1411,1731
"GA",13195,"Madison",11079,2486,8441
"GA",13193,"Macon",4781,3211,1545
"GA",13191,"McIntosh",6333,2860,3405
"GA",13189,"McDuffie",9585,4041,5475
"GA",13187,"Lumpkin",10878,2049,8633
"GA",13185,"Lowndes",38610,17118,21176
"GA",13183,"Long",3786,1434,2300
"GA",13181,"Lincoln",4425,1586,2806
"GA",13179,"Liberty",16132,10427,5558
"GA",13177,"Lee",13607,3187,10310
"GA",13175,"Laurens",19591,7508,11947
"GA",13173,"Lanier",2958,1108,1812
"GA",13171,"Lamar",7589,2602,4896
"GA",13169,"Jones",12099,4272,7740
"GA",13167,"Johnson",3772,1305,2440
"GA",13165,"Jenkins",3386,1487,1884
"GA",13163,"Jefferson",7268,4238,2992
"GA",13161,"Jeff Davis",5330,1271,3994
"GA",13159,"Jasper",6010,1839,4121
"GA",13157,"Jackson",23670,4236,19122
"GA",13155,"Irwin",3683,1134,2519
"GA",13153,"Houston",57912,22643,34631
"GA",13151,"Henry",90469,43374,46299
"GA",13149,"Heard",4162,947,3155
"GA",13147,"Hart",9501,2869,6516
"GA",13145,"Harris",15479,4141,11193
"GA",13143,"Haralson",10362,1787,8439
"GA",13141,"Hancock",4076,3301,764
"GA",13139,"Hall",59241,12489,45918
